Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Коломяжским пр., пр. Испытателей, границей территории объекта культурного нас",Приморский,509,27.04.2010,16.1,4433
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Косыгина, ул. Коммуны, Ленской ул., Белорусской ул.",Красногвардейский,1007,27.07.2010,7.3,4436
4. Постановление Правительства СПб. об утверждении,"ограниченная Барочной ул., ул. Профессора Попова, ул. Даля, наб.р.Карповки",Петроградский,1754,21.12.2010,3,4444
4. Постановление Правительства СПб. об утверждении,"территория севернее лесопарка ""Ново-Орловский"", ограниченная персп. продолжением Суздальского пр., про",Приморский,867,17.07.2007,279.9,4455
4. Постановление Правительства СПб. об утверждении,"прооизводственная зона ""Рыбацкое""",Невский,1288,23.09.2010,374.4,4460
4. Постановление Правительства СПб. об утверждении,"Территория производственной зоны ""Обухово""",Фрунзенский,1339,05.10.2010,281.7,4461
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Обуховской Обороны, ул. Профессора Качалова, Зеркальным пер., Мельничной ул.",Невский,374,15.04.2010,8.5,4466
4. Постановление Правительства СПб. об утверждении, кварталов 28 и 28А Юго-Западной Приморской части (участок 3 и 4  северо-западнее пересечения ул. Добл,Красносельский,1282,23.09.2010,30.1,4472
4. Постановление Правительства СПб. об утверждении,"Красное Село, Гатчинское шоссе (сечеро-восточнее пересечения Гатчинского шоссе и Красногородской ул.),",Красносельский,1671,29.12.2008,35.6,4479
4. Постановление Правительства СПб. об утверждении,"участок 1 севернее пересечения с 3-м Верхним пер. (""Северная долина"")",Выборгский,1431,17.11.2008,303.4,4481
4. Постановление Правительства СПб. об утверждении,"Территория северо-восточнее Ольгино, ограниченная проектным продолжением ул. Новой, проектируемыми про",Приморский,856,28.06.2011,19.9,4483
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченной пр. Энгельса, Новороссийской ул., Новосильцевским пер.",Выборгский,508,27.04.2010,1,4485
4. Постановление Правительства СПб. об утверждении,расположенная северо-западнее пересечения кольцевой автомобильной дороги вокруг Санкт-Петербурга (КАД),Выборгский,1157,13.10.2009,211.5,4489
4. Постановление Правительства СПб. об утверждении,кварталы 29 и 29А Юго-Западной части Санкт-Петербурга (участки 1 и 2 северо-западнее пересечения ул. Д,Красносельский,607,17.05.2011,40,4492
4. Постановление Правительства СПб. об утверждении,"ограниченная Таллинским шоссе, проектируемым проездом, границей отвода Октябрьской железной дороги, гр",Красносельский,927,04.08.2009,16.1,4500
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Плеханова, ул. Тургенева, Санкт-Петербургским ш., Кропоткинской ул.",Петродворцовый,621,17.05.2010,2,4501
4. Постановление Правительства СПб. об утверждении,"ограниченная проектным подолжением Индустриального пр., Шафировским пр., продолжением Шафировского пр.",Красногвардейский,81,13.02.2014,90.9,4503
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Лобачика, Вокзальной ул., Речной ул., Александровским шоссе, в границах муниципальног",Курортный,605,17.05.2011,2.3,4511
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный ул. Бабушкина, Леснозаводской ул., Белевским пер. и ул. Шелгунова",Невский,70,20.01.2009,10.7,4518
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Карбышева, Политехнической ул., Новороссийской ул., Октябрьской железной ",Калининский,1521,22.12.2009,28.8,4520
4. Постановление Правительства СПб. об утверждении,"ограниченная Боткинской ул., ул. Академика Лебедева, внутриквартальным проездом, Октябрьской железной ",Калининский,749,23.06.2009,2.8,4523
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Суздальским пр., пр. Энгельса, ул. Шостаковича, ул. Симонова",Выборгский,1757,21.12.2010,31.6,4537
4. Постановление Правительства СПб. об утверждении," ограниченная Дальневосточным пр., ул.Зольной, Складской ул., перспективным положением ул. Еремеева",Невский,227,24.02.2009,9.5,4541
4. Постановление Правительства СПб. об утверждении," ограниченная  пр. 9-ого Января,Грузовым проездом и отводом Окт.ж.д.",Фрунзенский,68,20.01.2009,3.6,4542
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Ивана Черных, проектируемой магистралью,ул. Маршала Говорова, ул. Метростроевцев, Мол",Кировский,1336,13.09.2011,5.4,4552
4. Постановление Правительства СПб. об утверждении,"ограниченная береговой линией Финского залива, административной границей муниципального образования г.",Курортный,189,15.02.2011,40.9,4555
4. Постановление Правительства СПб. об утверждении,"ограниченная 1-ой Советской ул., Орловским пер., 2-ой Советской ул., Суворовским пр.",Центральный,1243,27.11.2012,4.2,4566
4. Постановление Правительства СПб. об утверждении,"квартал 28 района Озеро Долгое, ограниченный Комендантским пр., ул. Ильюшина, пр. Авиаконструкторов и ",Приморский,894,22.07.2008,48.6,4567
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Фарворовской ул., ул.Бабушкина, ул. Полярников, ул. Седова",Невский,1521,02.12.2008,22,4570
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Санкт-Петербургским шоссе, ручьем, проектируемой магистралью, Гофмейстерской ",Петродворцовый,520,27.04.2010,94,4571
4. Постановление Правительства СПб. об утверждении," ограниченная ул. Маршала Говорова, ул. Швецова, Еленинским пер., проектным продолжением Лермонтовског",Кировский,530,23.07.2013,10.4,4575
4. Постановление Правительства СПб. об утверждении,Территория квартала 10А западнее ул. Спирина,Красносельский,557,12.05.2009,22.4,4577
4. Постановление Правительства СПб. об утверждении,"ограниченная Боровой ул., Прилукской ул., Воронежской ул., Расстанной ул.",Фрунзенский,517,27.04.2010,4.4,4581
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Прилукской ул., Лиговским пр., Расстанной ул., Воронежской ул.",Фрунзенский,515,27.04.2010,4.6,4582
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная пр. Энгельса, Суздальским пр., пр. Художников, Придорожной аллеей",Выборгский,1496,25.11.2008,11,4592
4. Постановление Правительства СПб. об утверждении,"ограниченная Дивенской ул., Певческим пер., Б. Посадской ул., М. Монетной ул.",Петроградский,1135,26.08.2010,2.6,4623
4. Постановление Правительства СПб. об утверждении,"ограниченной пр. Шаумяна, Заневским пр., рекой Оккервиль, Гранитной ул.",Красногвардейский,864,29.06.2010,42.8,4628
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная пр. Энергетиков, ул. Стасовой, Салтыковской дорогой, проектируемым проездом",Красногвардейский,335,24.03.2009,10.2,4631
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Генерала Симоняка, ул. Стойкости, пр. Маршала Жукова, пр. Ветеранов, в Ки",Кировский,481,28.04.2009,41.9,4635
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Авиаконструкторов, Долгоозерной ул., Планерной ул.",Приморский,48,18.01.2011,5.5,4636
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Новгородской ул., ул.Моисеенко и Дегтярным пер. (НЕВСКАЯ  РАТУША)",Центральный,71,20.01.2009,10.9,4638
4. Постановление Правительства СПб. об утверждении,"кв. 37 района Севернее улицы Новоселов (СУН), ограниченный пр. Большевиков, ул. Тельмана, границей отв",Невский,1600,16.12.2008,11.5,4639
4. Постановление Правительства СПб. об утверждении,"ограниченная Ольховой ул., ул. Маршала Новикова, пр. Королева",Приморский,859,15.08.2012,10.3,4648
4. Постановление Правительства СПб. об утверждении,"производственной зоны ""Ижорские заводы"", ограниченной маг. №1, южной границей ЗУ (кад. номер 78:37:172",Колпинский,1759,21.12.2010,178.4,4651
4. Постановление Правительства СПб. об утверждении,"квартала 5А Севернее улицы Новоселов (СУН), ограниченной продолжением ул. Тельмана, пр. Большевиков, п",Невский,645,24.05.2011,9.6,4652
4. Постановление Правительства СПб. об утверждении,"ограниченная Якорной ул., пр. Металлистов, Магнитогорской ул., пр. Шаумяна, Красногвардейской пл.",Красногвардейский,1758,21.12.2010,15.9,4653
4. Постановление Правительства СПб. об утверждении,"Территория, огграниченная ул. Чайковского, Моховой ул., ул. Пестеля, Гагаринской ул.",Центральный,1522,22.12.2009,5.5,4654
4. Постановление Правительства СПб. об утверждении,"территория кварталов 2А и 2 Г района Ульянка, ограниченная  пр. Стачек, ул. Лени Голикова, проездом кв",Кировский,613,17.05.2011,25.8,4693
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная пр. Обуховской Обороны, ул. Книпович, ул. Стеклянной, межквартальным проездом",Невский,510,27.04.2010,1.8,4696
4. Постановление Правительства СПб. об утверждении,"ограниченная проектным продолжением Стеклянной ул., Стеклянной ул., ул. Книпович, Хрустальной ул., про",Невский,869,21.07.2009,9.5,4697
4. Постановление Правительства СПб. об утверждении,"ограниченная административными границами муниципального образования поселок Репино, береговой линией Ф",Курортный,1669,07.12.2010,1503.5,4708
4. Постановление Правительства СПб. об утверждении,"ограниченная полосой отвода ж.д., северо-западной административной границей МО пос. Комарово, берегово",Курортный,1670,07.12.2010,821.9,4710
4. Постановление Правительства СПб. об утверждении,"ограниченная железнодорожной веткой на станцию Обухово (окружной железной дорогой), границей отвода ко",Фрунзенский,1497,25.11.2008,9.5,4720
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Латышских Стрелков, Зольной ул., береговой линией р. Оккервиль, ул. Ворошилова",Невский,1337,13.09.2011,41,4737
4. Постановление Правительства СПб. об утверждении,"квартал 63 района СПЧ, ограниченный Яхтенной ул., ул. Савушкина, проектируемым проездом, проектируемой",Приморский,22,24.01.2014,23.7,4750
4. Постановление Правительства СПб. об утверждении," ограниченная Загородным пр., пер. Джамбула, наб.р. Фонтанки, внутриквартальным проездом",Центральный,811,07.07.2009,5,4755
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный ул. Передовиков, пр. Косыгина, Индустриальным пр.",Красногвардейский,1209,27.10.2009,35.3,4758
4. Постановление Правительства СПб. об утверждении,"ограниченная Наличной ул., Уральской ул., перспективным продолжением пр. Кима",Василеостровский,1006,27.07.2010,4.7,4763
4. Постановление Правительства СПб. об утверждении,"Территория части производственной зоны ""Парнас"", ограниченной 5-м Верхним пер., Домостроительной  ул.,",Выборгский,1338,05.10.2010,19.6,4778
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная пробивкой пр. Королева,ул. Шаврова, Комендантским пр., Шуваловским пр.",Приморский,514,27.04.2010,18.9,4785
4. Постановление Правительства СПб. об утверждении,"ограниченная ул.Строителей, проектным продолжением Торфяной ул., границей функциональной зоны ""ПД"", по",Курортный,855,28.06.2011,9.8,4790
4. Постановление Правительства СПб. об утверждении,"ограниченная Народной ул., линией отвода ж.д., административной границей между Санкт-Петербургом и Лен",Невский,1661,07.12.2010,12.9,4801
4. Постановление Правительства СПб. об утверждении," ограниченная пр. Ленина, ул. Коммуны, Финляндской ул., Советским бульваром",Колпинский, 1497/1,02.11.2010,4.4,4816
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Михаила Дудина, пр. Энгельса, проектируемой пешеходной ул., перспективной пробивкой 9",Выборгский,40,28.01.2014,4.4,4826
4. Постановление Правительства СПб. об утверждении,"ограниченная Пловдиевской ул., Загребским бульваром, Дунайским пр. и Будапештской ул.",Фрунзенский,338,22.03.2011,19.9,4831
4. Постановление Правительства СПб. об утверждении," ограниченная Тобольской ул., Лесным пр., ул. Смолячкова, Б.Сампсониевским пр.",Выборгский,1656,22.12.2008,6.8,4844
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная пр. Испытателей, пр. Сизова, Туполевской ул., Комендантской пл.",Приморский,138,09.02.2010,19.4,4849
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Энергетиков, пр. Маршала Блюхера, Салтыковской дор., ул. Стасовой",Красногвардейский,1077,22.09.2009,16.9,4856
4. Постановление Правительства СПб. об утверждении,"Территория квартала № 6 производственной зоны  ""Металлострой"", ограниченной дор. в Металлострой, красн",Колпинский,1375,25.11.2009,159.1,4865
4. Постановление Правительства СПб. об утверждении,"Территория квартала 8 производственной зоны ""Металлострой"" а пос. Металоострой",Колпинский,1376,25.11.2009,50.5,4866
4. Постановление Правительства СПб. об утверждении,"квартал 1 В.О., ограниченный Новосмоленской наб., ул. Кораблестроителей, ул. Нахимова и Наличной ул.",Василеостровский,1006,14.08.2007,71.1,4868
4. Постановление Правительства СПб. об утверждении,"территория производственной зоны ""Каменка"", расположенной северо-восточнее и юго-западнее пересечения ",Выборгский,651,24.05.2010,408.2,4881
4. Постановление Правительства СПб. об утверждении,территория строительства морского пассажирского терминала на Васильевском острове в Санкт-Петербурге н,Василеостровский,1431,13.11.2007,67.1,4891
4. Постановление Правительства СПб. об утверждении,"ограниченная Приморским  шоссе, административной границей г. Сестрорецка, границей функциональной зоны",Курортный,1335,13.09.2011,280.3,4895
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная 10-й линий В.О., наб.р. Смоленки, 9-й линией В.О., Малым пр. В.О.",Василеостровский,1524,22.12.2009,4.9,4899
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный пр. Науки, ул. Карпинского, ул. Верности, ул. Бутлерова",Калининский,226,24.02.2009,49.1,4906
4. Постановление Правительства СПб. об утверждении,"квартал 13  восточнее пр. Юрия Гагарина (ВЮГ), ограниченного пр. Космонавтов, Звездной ул., Витебским ",Московский,202,17.02.2009,14.9,4907
4. Постановление Правительства СПб. об утверждении,"Кв. 26, ограниченного Пискаревским пр., Львовской ул., Апрельской ул. и пр. Металлистов",Красногвардейский,293,18.03.2008,34.9,4910
4. Постановление Правительства СПб. об утверждении,"произвенной зоны ""Ижорские заводы"", ограниченной проектируемой улицей №1, проектируемой магистралью №1",Колпинский,1760,21.12.2010,47.7,4919
4. Постановление Правительства СПб. об утверждении,"производственная зона ""Ижорские заводы"", ограниченная продолжением Софийской ул., магистрали №1, проез",Колпинский,1670,29.12.2008,55.7,4921
4. Постановление Правительства СПб. об утверждении,"Территория п/з ""Восточная"" (""Пушкинская""), ограниченная южной границей ЗУ Ж.Д. от ж.-д. станции ""Детск",Пушкинский,46,18.01.2011,35.8,4931
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Коробицина, проектируемым проездом, Приозерной ул., садоводческим некоммерческим това",Курортный,1283,23.09.2010,9.7,4933
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Грибакиных, полосой отвода железной дороги, пр. Александровской Фермы, внутрикварталь",Невский,529,23.07.2013,112.7,4941
4. Постановление Правительства СПб. об утверждении,"ограниченная Советским пр., 3-й Поперечной ул., береговой линией озера Сестрорецкий Разлив, проектируе",Курортный,1417,19.10.2010,56.9,4944
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Северным пр., границей функциональной зоны ""Д"", проектируемым проездом",Выборгский,1168,30.10.2012,3.5,4952
4. Постановление Правительства СПб. об утверждении,"ограниченная Рябовским шоссе, Сосновой ул., продолжением Сосновой ул., полосой отвода железной дороги",Красногвардейский,42,28.01.2014,7.2,4967
4. Постановление Правительства СПб. об утверждении,"ограниченная Железнодорожной ул., Центральной ул., Октябрьской железной дорогой, продолжением Полевой ",Колпинский,131,01.02.2011,8.6,4977
4. Постановление Правительства СПб. об утверждении," кв. 12А ВВЖД, ограниченного ул.Белы Куна, Бухарестской ул. и ул. Турку (станция метрополитена ""Междун",Фрунзенский,1613,11.12.2007,9,4984
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Гусарской ул., Саперной ул., ул. Ломоносова, Полевой ул.",Пушкинский,132,01.02.2011,115.4,4987
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Ефимова, Садовой ул., межквартальными проездами",Адмиралтейский,1380,25.12.2012,2.4,4997
4. Постановление Правительства СПб. об утверждении,"территрия, ограниченная Малым пр. П.С., Рыбацкой ул., Большим пр. П.С. и Ропшинской ул.",Петроградский,654,03.06.2008,1.5,5003
4. Постановление Правительства СПб. об утверждении,"граниченная Малым пр. П.С., Ропшинской ул., Большим пр. П.С., Красносельской ул.",Петроградский,1281,23.09.2010,1.3,5005
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Лизы Чайкиной, Большим пр. П.С., Введенской ул., Б. Пушкарской ул.",Петроградский,857,15.08.2012,1.9,5006
4. Постановление Правительства СПб. об утверждении,"ограниченная Будапештской ул., ул. Фучика, Бухарестской ул., межквартальным проездом",Фрунзенский,1744,23.12.2011,10.7,5022
4. Постановление Правительства СПб. об утверждении,"ограниченная Пляжевой ул., Приморским шоссе, 4-ой Пляжевой ул. и  2-ой Пляжевой ул.",Курортный,1207,07.09.2010,13.2,5031
4. Постановление Правительства СПб. об утверждении,Территория юго-восточнее пересечения транспортного узла на пересечении проектируемой трассы Западного ,Выборгский,1662,07.12.2010,5.2,5038
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Выборгским шоссе, ул. Ломоносова и дорогой на Каменку",Выборгский,211,26.02.2008,82.2,5048
4. Постановление Правительства СПб. об утверждении,"территория,ограниченная  ул. Александра Товпеко, Новой ул., Волховстроевской ул., Фанерной ул., в пос.",Колпинский,1167,30.10.2012,16.5,5051
4. Постановление Правительства СПб. об утверждении,"ограниченная Матросской ул., проектным продолжением Приозерной ул., перспективным проездом, проектным ",Курортный,644,24.05.2011,42.5,5053
4. Постановление Правительства СПб. об утверждении,"ограниченная Богатырским пр., Байконурской ул.,  перспективным пролжением Аэродромной ул. и  проектной",Приморский,300,23.03.2010,10.6,5057
4. Постановление Правительства СПб. об утверждении,"ограниченная Пляжевой ул., 2-ой Пляжевой ул., 4-ой Пляжевой ул., береговой линией Финского залива",Курортный,1208,07.09.2010,8.3,5058
4. Постановление Правительства СПб. об утверждении,"ограниченная Камышовой ул., Туристской ул., Богатырским пр., Шуваловским пр.",Приморский,1688,13.12.2011,20.7,5095
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Есенина, Придорожной аллеей, пр. Художников, Сиреневым бульваром",Выборгский,884,21.11.2013,25,5097
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Тульской ул., ул. Красного Текстильщика, проектным проездом от ул. Красного Т",Центральный,731,17.06.2008,7.8,5108
4. Постановление Правительства СПб. об утверждении,"квартала 37 нежилой зоны района ""Большая Охта"", ограниченная Якорной ул., пр. Энергетиков, Магнитогорс",Красногвардейский,1655,22.12.2008,31.9,5113
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Федосеенко, пр. Металлистов, Замшиной ул., ул. Васенко",Калининский,1418,19.10.2010,6,5124
4. Постановление Правительства СПб. об утверждении,"ограниченная Нижне-Камской ул., продолжением Глухарской ул., границей базисного квартала 4286А",Приморский,1755,21.12.2010,7,5125
4. Постановление Правительства СПб. об утверждении,"кв. 29 района Шувалово-Озерки, ограниченный ул. пр. Энгельса, пр. Луначарского, ул. Есенина и ул. Сике",Выборгский,435,16.04.2008,37.4,5132
4. Постановление Правительства СПб. о внес. изменений,"квартал 41 СМР,ограниченный пр. Просвещения, ул. Ольги Форш, Учительской ул., ул. Демьяна Бедного",Калининский,668,26.06.2012,22.9,5133
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный пр. Просвещения, ул. Ольги Форш, Учительской ул., ул. Демьяна Бедного",Калининский,895,22.07.2008,22.9,5136
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Ломоносова, Саперной ул.,Павловским шоссе,Кедринской ул.",Пушкинский,855,15.08.2012,28.9,5141
4. Постановление Правительства СПб. об утверждении," ограниченная Крестовским пр., Рюхиной ул., Морским пр., Спортивной ул.",Петроградский,1244,27.11.2012,11.2,5144
4. Постановление Правительства СПб. об утверждении,"ограниченная Литовской ул., Менделеевской ул., Чугунной ул.",Калининский,867,29.06.2010,43.6,5145
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Хошимина, ул. Композиторов, пр. Луначарского, Выборгским шоссе",Выборгский, 1499/1,02.11.2010,18.6,5148
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Партизана Германа, Петергофским шоссе, границей территории объекта культурного наслед",Красносельский,609,17.05.2011,15.3,5150
4. Постановление Правительства СПб. об утверждении,"ограниченная Заводским пр., западной границей земельного участка по адресу: Заводской пр., д. 17, лите",Колпинский,692,10.09.2013,2,5167
4. Постановление Правительства СПб. об утверждении,"ограниченная административной границей Санкт-Петербурга, границей муниципального образования пос. Кома",Курортный,293,14.03.2011,262.2,5188
4. Постановление Правительства СПб. об утверждении,"ограниченная Удельным пр., Кубанской ул., Костромским пр.",Выборгский,65,07.02.2014,1.5,5190
4. Постановление Правительства СПб. об утверждении,"ограниченная проектируемой улицей № 1, проектируемой улицей № 2, проектируемым проездом № 1, Приморски",Приморский,1197,12.11.2012,30.5,5215
4. Постановление Правительства СПб. об утверждении,"квартал 2 западной части В.О., ограниченного ул. Кораблестроителей, ул. Наличной и Новосмоленской наб.",Василеостровский,1076,28.08.2007,63,5218
4. Постановление Правительства СПб. об утверждении,"ограниченная Богатырским пр., проектной магистралью № 22 и территорией Серафимовского кладбища",Приморский,1106,26.08.2008,9,5222
4. Постановление Правительства СПб. об утверждении,квартал 17-В района Ладожского вокзала,Красногвардейский,996,14.08.2007,1.2,5232
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Композиторов, Суздальским пр., ул. Симонова, ул. Прокофьева",Выборгский,72,07.02.2014,9.6,5246
4. Постановление Правительства СПб. об утверждении,"ограниченная Крестовским пр., Спортивной ул., пр. Динамо, Петроградской ул.",Петроградский,43,18.01.2011,2.9,5251
4. Постановление Правительства СПб. об утверждении,"ограниченная Приморским шоссе, ручьем, береговой линией Финского залива, условной линией в створе Круг",Курортный,135,01.02.2011,12.6,5262
4. Постановление Правительства СПб. об утверждении,"кв. 59Б СПЧ, огр. Лыжным пер, Мебельной ул. и Шуваловским пр.",Приморский,1339,06.09.2005,28.7,5263
4. Постановление Правительства СПб. о внес. изменений,"территория квартала 59Б Северо-Приморской части, ограниченной Лыжным пер., Мебельной ул., Шуваловским ",Приморский,849,15.08.2012,28.7,5264
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Веры Слуцкой, Пролетарской ул., ул. Вавилова, Раумской ул.",Колпинский,1609,22.11.2011,11,5275
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Турку, Будапештской ул., пр. Славы, Белградской ул.",Фрунзенский,690,10.09.2013,98,5295
4. Постановление Правительства СПб. об утверждении," ограниченная ул. Урицкого, Октябрьской ул., ул. Правды",Колпинский,837,29.10.2013,10.5,5299
4. Постановление Правительства СПб. об утверждении,"ограниченная Железнодорожным пр., Белевским пр., Варфоломеевской ул. и перспективной магистралью",Невский,1241,27.11.2012,5.8,5309
